/m,/mobile,301
/home,/h,301
/activities/informatsiya_o_putevkakh/in-the-sanatorium-and-spa-institutions/informing-about-the-state-of-order-to-receive-vouchers-for-sanatorium-and-spa-treatment.php,/deyatelnost/Informirovanie-o-putevkah/V-sanatorno-kurortnye-uchrezhdeniya/voucher-sanatorium,301
/activities/informatsiya_o_putevkakh/in-the-sanatorium-and-spa-institutions/search.php,/deyatelnost/Informirovanie-o-putevkah/V-sanatorno-kurortnye-uchrezhdeniya/search,301
/activities/informatsiya_o_putevkakh/in-the-sanatorium-and-spa-institutions/sanatorium_spa_treatment,/deyatelnost/Informirovanie-o-putevkah/V-sanatorno-kurortnye-uchrezhdeniya/voucher-sanatorium,301
/user/loggin,/loggin,301
/u,/user,301
/o-nas,/ru-RU/content/about,301
/admin,/cp,301
/manager,/cp,301
